damage_class,road_type,relative_bbox_area,cluster_count,priority
Alligator,city_road,0.122,2,LOW
Pothole,city_road,0.125,3,MEDIUM
Pothole,city_road,0.122,3,MEDIUM
Pothole,city_road,0.08750971409311609,1,MEDIUM
Alligator,major_district_road,0.11788069363672,1,MEDIUM
Alligator,major_district_road,0.145,3,MEDIUM
Alligator,city_road,0.048,4,MEDIUM
Alligator,city_road,0.184,4,MEDIUM
Alligator,major_district_road,0.221,4,MEDIUM
Transverse,city_road,0.278,1,LOW
Pothole,major_district_road,0.292,4,HIGH
Alligator,national_highway,0.063,1,HIGH
Transverse,major_district_road,0.102,1,LOW
Pothole,city_road,0.083,5,MEDIUM
Pothole,city_road,0.091,1,MEDIUM
Alligator,national_highway,0.095,3,HIGH
Pothole,rural_road,0.218,1,LOW
Alligator,national_highway,0.237,3,HIGH
Pothole,national_highway,0.2007366845920642,6,HIGH
Pothole,major_district_road,0.059349706582550454,2,MEDIUM
Alligator,city_road,0.273,4,MEDIUM
Alligator,city_road,0.245,4,MEDIUM
Pothole,city_road,0.019,5,MEDIUM
Alligator,major_district_road,0.096,4,MEDIUM
Alligator,rural_road,0.135,4,LOW
Alligator,city_road,0.064,2,LOW
Transverse,major_district_road,0.15648824224873728,3,MEDIUM
Alligator,state_highway,0.39,6,HIGH
Pothole,major_district_road,0.11,5,MEDIUM
Pothole,major_district_road,0.028,3,MEDIUM
Alligator,state_highway,0.17,1,MEDIUM
Longitudinal,state_highway,0.11439004832322676,2,LOW
Pothole,city_road,0.082,1,LOW
Pothole,national_highway,0.145,3,HIGH
Alligator,city_road,0.179,4,MEDIUM
Pothole,state_highway,0.072,4,HIGH
Alligator,national_highway,0.041,1,MEDIUM
Alligator,city_road,0.556,2,MEDIUM
Pothole,rural_road,0.134,2,LOW
Alligator,city_road,0.192,3,MEDIUM
Transverse,city_road,0.036,2,LOW
Longitudinal,rural_road,0.207,3,LOW
Longitudinal,city_road,0.133,4,LOW
Longitudinal,city_road,0.106,3,LOW
Longitudinal,major_district_road,0.093,1,LOW
Alligator,city_road,0.124,1,MEDIUM
Alligator,major_district_road,0.03994421255713212,1,MEDIUM
Alligator,major_district_road,0.08752274882879113,6,MEDIUM
Pothole,national_highway,0.465,6,HIGH
Pothole,major_district_road,0.278,2,MEDIUM
Alligator,major_district_road,0.08916080471216235,1,MEDIUM
Pothole,state_highway,0.072,3,HIGH
Transverse,major_district_road,0.136,2,LOW
Pothole,national_highway,0.27,5,HIGH
Alligator,city_road,0.111,1,LOW
Pothole,national_highway,0.068,2,HIGH
Alligator,city_road,0.145,1,MEDIUM
Alligator,state_highway,0.274,2,HIGH
Pothole,city_road,0.417,2,MEDIUM
Transverse,major_district_road,0.129,3,LOW
Pothole,state_highway,0.13260016823414786,1,HIGH
Alligator,major_district_road,0.062,3,MEDIUM
Pothole,national_highway,0.181,1,HIGH
Longitudinal,rural_road,0.149,2,LOW
Longitudinal,major_district_road,0.1544957258202207,3,LOW
Pothole,city_road,0.156,4,MEDIUM
Alligator,national_highway,0.172,1,HIGH
Pothole,major_district_road,0.386,4,HIGH
Pothole,city_road,0.15743474670038043,1,MEDIUM
Pothole,major_district_road,0.149,4,HIGH
Pothole,major_district_road,0.14,5,HIGH
Alligator,city_road,0.1,3,LOW
Transverse,city_road,0.354,3,LOW
Pothole,city_road,0.229,2,MEDIUM
Transverse,state_highway,0.15954874739536812,4,MEDIUM
Pothole,city_road,0.298,4,MEDIUM
Pothole,state_highway,0.303,1,HIGH
Pothole,city_road,0.34,3,MEDIUM
Pothole,city_road,0.167,2,MEDIUM
Alligator,national_highway,0.14,1,HIGH
Pothole,national_highway,0.179,5,HIGH
Pothole,major_district_road,0.06515561768504206,2,MEDIUM
Pothole,city_road,0.085,1,LOW
Alligator,state_highway,0.162,2,HIGH
Alligator,city_road,0.249,4,MEDIUM
Alligator,major_district_road,0.339,4,MEDIUM
Transverse,state_highway,0.126,2,MEDIUM
Pothole,major_district_road,0.026,3,MEDIUM
Alligator,city_road,0.104,1,LOW
Alligator,national_highway,0.193,4,HIGH
Transverse,city_road,0.087,1,LOW
Transverse,rural_road,0.167,3,LOW
Pothole,state_highway,0.099,1,MEDIUM
Pothole,city_road,0.07934734859366602,2,MEDIUM
Pothole,major_district_road,0.131,4,MEDIUM
Pothole,major_district_road,0.117,3,MEDIUM
Alligator,rural_road,0.309,4,LOW
Pothole,major_district_road,0.066,1,MEDIUM
Pothole,major_district_road,0.123,3,MEDIUM
Transverse,major_district_road,0.32,3,LOW
Pothole,city_road,0.27965189374965144,1,MEDIUM
Pothole,city_road,0.017,3,MEDIUM
Alligator,city_road,0.472,1,MEDIUM
Transverse,rural_road,0.037,3,LOW
Alligator,city_road,0.37,2,MEDIUM
Alligator,major_district_road,0.373,4,MEDIUM
Transverse,city_road,0.045,1,LOW
Pothole,major_district_road,0.238,3,MEDIUM
Transverse,major_district_road,0.347,3,HIGH
Pothole,rural_road,0.064,2,LOW
Pothole,national_highway,0.272,5,HIGH
Pothole,major_district_road,0.071,1,MEDIUM
Pothole,city_road,0.127,3,MEDIUM
Longitudinal,major_district_road,0.05682155560378896,4,LOW
Pothole,major_district_road,0.01,2,MEDIUM
Longitudinal,city_road,0.09774036942487084,1,LOW
Pothole,city_road,0.157,1,MEDIUM
Alligator,city_road,0.061,4,MEDIUM
Pothole,city_road,0.246,2,MEDIUM
Alligator,city_road,0.118,1,LOW
Pothole,city_road,0.209,5,MEDIUM
Pothole,city_road,0.109,1,MEDIUM
Alligator,city_road,0.044,1,LOW
Longitudinal,major_district_road,0.18487880455451156,1,LOW
Pothole,state_highway,0.102,2,HIGH
Pothole,city_road,0.174,1,MEDIUM
Alligator,state_highway,0.038,2,HIGH
Alligator,city_road,0.085,5,MEDIUM
Pothole,major_district_road,0.337,1,MEDIUM
Pothole,city_road,0.159,1,MEDIUM
Pothole,city_road,0.083,2,MEDIUM
Pothole,major_district_road,0.135,4,MEDIUM
Pothole,city_road,0.226,1,MEDIUM
Alligator,rural_road,0.10457222027110546,2,LOW
Pothole,city_road,0.035,3,MEDIUM
Pothole,state_highway,0.131,4,HIGH
Pothole,major_district_road,0.091,6,HIGH
Transverse,state_highway,0.153,4,MEDIUM
Pothole,major_district_road,0.325,1,MEDIUM
Pothole,major_district_road,0.123,1,MEDIUM
Alligator,city_road,0.058,1,LOW
Alligator,major_district_road,0.057,3,MEDIUM
Transverse,city_road,0.03972506252174645,2,LOW
Alligator,major_district_road,0.010969447845703445,2,MEDIUM
Longitudinal,city_road,0.129,4,LOW
Pothole,major_district_road,0.038,2,MEDIUM
Alligator,national_highway,0.183,1,HIGH
Pothole,city_road,0.141,2,MEDIUM
Pothole,city_road,0.083,2,LOW
Pothole,city_road,0.237,4,MEDIUM
Pothole,city_road,0.194,4,MEDIUM
Transverse,city_road,0.18252140873962622,3,LOW
Pothole,city_road,0.066,3,MEDIUM
Transverse,major_district_road,0.237,1,LOW
Pothole,state_highway,0.08989999121238457,6,HIGH
Longitudinal,city_road,0.039,1,LOW
Alligator,city_road,0.06473554340627347,1,LOW
Longitudinal,state_highway,0.01,1,LOW
Pothole,rural_road,0.352,1,LOW
Alligator,major_district_road,0.10565914372098376,2,MEDIUM
Pothole,city_road,0.232,4,MEDIUM
Alligator,city_road,0.069,3,LOW
Alligator,major_district_road,0.144,6,MEDIUM
Alligator,rural_road,0.0842741115455232,1,LOW
Alligator,city_road,0.14236322438854138,2,MEDIUM
Pothole,rural_road,0.05847077962254614,2,LOW
Longitudinal,national_highway,0.359,3,MEDIUM
Transverse,major_district_road,0.171,2,LOW
Alligator,state_highway,0.1563696439364842,2,HIGH
Alligator,city_road,0.117,6,MEDIUM
Transverse,national_highway,0.05565028204192793,4,MEDIUM
Pothole,city_road,0.133,2,MEDIUM
Alligator,city_road,0.034,3,LOW
Alligator,rural_road,0.021,1,LOW
Transverse,state_highway,0.103,6,MEDIUM
Pothole,city_road,0.131,1,MEDIUM
Pothole,city_road,0.01844323665100053,5,MEDIUM
Alligator,national_highway,0.027178711330424127,5,HIGH
Alligator,major_district_road,0.04272868994948354,4,MEDIUM
Alligator,major_district_road,0.182,1,MEDIUM
Alligator,city_road,0.086,5,MEDIUM
Pothole,major_district_road,0.183,5,HIGH
Alligator,rural_road,0.217,2,LOW
Alligator,city_road,0.117,1,LOW
Alligator,city_road,0.159,2,LOW
Pothole,city_road,0.192,2,MEDIUM
Alligator,major_district_road,0.114,3,MEDIUM
Pothole,rural_road,0.319,2,LOW
Pothole,city_road,0.072,1,LOW
Alligator,major_district_road,0.14896593473465447,4,MEDIUM
Alligator,state_highway,0.128,2,HIGH
Alligator,city_road,0.138,3,LOW
Pothole,rural_road,0.121,2,LOW
Alligator,city_road,0.098,6,MEDIUM
Alligator,city_road,0.114,4,MEDIUM
Pothole,national_highway,0.132,1,HIGH
Transverse,national_highway,0.302,2,MEDIUM
Pothole,city_road,0.395,3,MEDIUM
Pothole,city_road,0.056,1,LOW
Transverse,major_district_road,0.018852910133350904,4,LOW
Alligator,city_road,0.352,2,MEDIUM
Alligator,city_road,0.08340323347231317,3,LOW
Pothole,state_highway,0.12242967821584316,6,HIGH
Transverse,city_road,0.337,3,LOW
Pothole,state_highway,0.076,3,HIGH
Pothole,city_road,0.12,3,MEDIUM
Alligator,city_road,0.14,4,MEDIUM
Alligator,major_district_road,0.225,3,MEDIUM
Pothole,city_road,0.305,1,MEDIUM
Pothole,major_district_road,0.16,2,MEDIUM
Longitudinal,city_road,0.217,3,LOW
Transverse,city_road,0.276,1,LOW
Pothole,city_road,0.01,1,LOW
Transverse,rural_road,0.147,1,LOW
Alligator,major_district_road,0.12,7,HIGH
Alligator,city_road,0.047,2,LOW
Pothole,city_road,0.019653894761484252,3,MEDIUM
Transverse,major_district_road,0.075,1,LOW
Pothole,city_road,0.051,2,MEDIUM
Alligator,city_road,0.031,2,LOW
Pothole,national_highway,0.471,1,HIGH
Alligator,city_road,0.164,2,MEDIUM
Pothole,city_road,0.269,2,LOW
Pothole,city_road,0.171,1,MEDIUM
Alligator,rural_road,0.12,2,LOW
Alligator,city_road,0.036,1,LOW
Pothole,city_road,0.083,4,MEDIUM
Longitudinal,major_district_road,0.203,1,LOW
Pothole,rural_road,0.296,1,LOW
Pothole,city_road,0.0383722430982872,2,MEDIUM
Pothole,major_district_road,0.229,2,MEDIUM
Alligator,major_district_road,0.196,3,MEDIUM
Transverse,national_highway,0.107,3,MEDIUM
Transverse,city_road,0.038,3,LOW
Longitudinal,major_district_road,0.31,4,LOW
Alligator,major_district_road,0.033,3,LOW
Alligator,national_highway,0.073,4,HIGH
Pothole,city_road,0.135,3,MEDIUM
Alligator,rural_road,0.211,2,LOW
Alligator,national_highway,0.112,4,HIGH
Longitudinal,major_district_road,0.079,4,LOW
Transverse,major_district_road,0.255,3,LOW
Alligator,city_road,0.124,4,MEDIUM
Alligator,city_road,0.146,5,MEDIUM
Pothole,national_highway,0.23,1,HIGH
Alligator,city_road,0.219,2,LOW
Longitudinal,major_district_road,0.056,1,LOW
Pothole,city_road,0.196,2,LOW
Alligator,major_district_road,0.322,3,MEDIUM
Pothole,city_road,0.227,1,MEDIUM
Pothole,city_road,0.416,2,MEDIUM
Transverse,major_district_road,0.13619126148011368,1,LOW
Pothole,major_district_road,0.112,1,MEDIUM
Pothole,major_district_road,0.259,4,HIGH
Pothole,major_district_road,0.218,2,MEDIUM
Transverse,major_district_road,0.03404634165846326,4,LOW
Longitudinal,rural_road,0.258,4,LOW
Pothole,rural_road,0.224,9,MEDIUM
Longitudinal,major_district_road,0.178,1,LOW
Pothole,city_road,0.045,4,MEDIUM
Pothole,city_road,0.169,3,MEDIUM
Pothole,state_highway,0.282,2,HIGH
Alligator,city_road,0.09578656657380863,1,LOW
Pothole,city_road,0.061,2,MEDIUM
Alligator,major_district_road,0.11384172491228753,4,MEDIUM
Alligator,major_district_road,0.077,3,MEDIUM
Alligator,national_highway,0.204,2,HIGH
Pothole,city_road,0.093,1,MEDIUM
Longitudinal,rural_road,0.1399064850918804,4,LOW
Pothole,state_highway,0.169,2,HIGH
Transverse,city_road,0.211,6,LOW
Transverse,rural_road,0.124,1,LOW
Alligator,major_district_road,0.053,1,LOW
Transverse,major_district_road,0.075,1,LOW
Alligator,rural_road,0.018469345166633254,1,LOW
Alligator,state_highway,0.242,2,HIGH
Pothole,national_highway,0.142,3,HIGH
Alligator,rural_road,0.158,2,LOW
Pothole,city_road,0.457,2,MEDIUM
Alligator,major_district_road,0.221,5,MEDIUM
Pothole,national_highway,0.281,2,HIGH
Alligator,city_road,0.23,3,MEDIUM
Pothole,city_road,0.086,2,MEDIUM
Longitudinal,state_highway,0.128,2,LOW
Longitudinal,major_district_road,0.1,3,LOW
Longitudinal,rural_road,0.178,3,LOW
Pothole,city_road,0.08321562900992648,2,MEDIUM
Pothole,major_district_road,0.18510004080710885,4,HIGH
Transverse,city_road,0.119,2,LOW
Pothole,major_district_road,0.157,5,HIGH
Transverse,city_road,0.282,1,LOW
Transverse,city_road,0.109,4,LOW
Alligator,rural_road,0.082,1,LOW
Pothole,city_road,0.09243210960314298,4,MEDIUM
Pothole,city_road,0.059,2,MEDIUM
Pothole,city_road,0.199,3,MEDIUM
Transverse,major_district_road,0.16,5,LOW
Alligator,city_road,0.336,1,LOW
Pothole,major_district_road,0.056,8,MEDIUM
Pothole,city_road,0.019,3,LOW
Pothole,city_road,0.204,2,LOW
Alligator,national_highway,0.17,2,HIGH
Alligator,major_district_road,0.101,1,MEDIUM
Pothole,city_road,0.206,2,MEDIUM
Longitudinal,state_highway,0.426,3,MEDIUM
Alligator,city_road,0.207,1,MEDIUM
Transverse,city_road,0.209,1,MEDIUM
Pothole,city_road,0.137,3,MEDIUM
Longitudinal,major_district_road,0.464,1,LOW
Pothole,major_district_road,0.08833612718166955,2,MEDIUM
Longitudinal,city_road,0.19,5,LOW
Longitudinal,national_highway,0.02,3,LOW
Transverse,city_road,0.168,1,LOW
Transverse,city_road,0.195,1,LOW
Transverse,national_highway,0.16331998167699702,3,MEDIUM
Pothole,major_district_road,0.096,2,MEDIUM
Longitudinal,city_road,0.12864385726960728,3,LOW
Alligator,city_road,0.057,3,MEDIUM
Pothole,rural_road,0.11028362140256724,1,LOW
Pothole,major_district_road,0.09,1,MEDIUM
Alligator,state_highway,0.097,4,HIGH
Pothole,city_road,0.032,2,MEDIUM
Transverse,city_road,0.196,2,MEDIUM
Pothole,state_highway,0.119,1,HIGH
Alligator,city_road,0.05627581024259352,2,LOW
Alligator,national_highway,0.04619185107639854,3,HIGH
Transverse,city_road,0.112,3,MEDIUM
Alligator,national_highway,0.399,6,HIGH
Alligator,city_road,0.058857675874516666,3,LOW
Transverse,state_highway,0.135,1,LOW
Alligator,city_road,0.017,1,LOW
Alligator,city_road,0.03371306671830889,5,MEDIUM
Alligator,rural_road,0.0738590879572813,1,LOW
Alligator,national_highway,0.212,1,HIGH
Transverse,national_highway,0.176,6,MEDIUM
Pothole,major_district_road,0.03158391875063487,3,MEDIUM
Transverse,city_road,0.159,7,LOW
Alligator,city_road,0.224,3,MEDIUM
Alligator,major_district_road,0.147,3,MEDIUM
Longitudinal,city_road,0.019,1,LOW
Pothole,city_road,0.243,6,MEDIUM
Pothole,major_district_road,0.31,4,HIGH
Pothole,city_road,0.167,2,LOW
Pothole,city_road,0.133,3,MEDIUM
Alligator,city_road,0.085,1,LOW
Transverse,major_district_road,0.237,4,LOW
Transverse,major_district_road,0.447,1,LOW
Pothole,city_road,0.03855166806638709,3,MEDIUM
Pothole,city_road,0.05452515411108593,3,MEDIUM
Pothole,city_road,0.101,3,MEDIUM
Longitudinal,city_road,0.05543035115607207,2,LOW
Alligator,city_road,0.164,3,MEDIUM
Pothole,major_district_road,0.206,3,MEDIUM
Transverse,major_district_road,0.115,3,LOW
Alligator,city_road,0.036304101732109566,5,MEDIUM
Pothole,major_district_road,0.276,1,MEDIUM
Alligator,state_highway,0.155,3,HIGH
Pothole,city_road,0.378,3,MEDIUM
Alligator,city_road,0.213,1,MEDIUM
Pothole,major_district_road,0.03599610633355991,1,MEDIUM
Pothole,major_district_road,0.444,6,MEDIUM
Longitudinal,national_highway,0.4,3,MEDIUM
Transverse,city_road,0.352,3,LOW
Pothole,state_highway,0.08677971748781241,1,HIGH
Pothole,state_highway,0.222,4,HIGH
Pothole,city_road,0.093,3,MEDIUM
Alligator,state_highway,0.053,3,HIGH
Pothole,city_road,0.086,4,MEDIUM
Transverse,national_highway,0.022,1,MEDIUM
Alligator,state_highway,0.20912173166474302,3,HIGH
Pothole,state_highway,0.102,1,MEDIUM
Transverse,city_road,0.227,1,MEDIUM
Pothole,city_road,0.191,4,MEDIUM
Transverse,city_road,0.09060936698281018,3,LOW
Alligator,major_district_road,0.336,1,MEDIUM
Alligator,city_road,0.13995075445590288,4,MEDIUM
Longitudinal,city_road,0.137,3,LOW
Pothole,major_district_road,0.102,5,HIGH
Transverse,state_highway,0.227,5,MEDIUM
Alligator,city_road,0.068,4,MEDIUM
Longitudinal,city_road,0.089,2,LOW
Alligator,city_road,0.182,4,MEDIUM
Alligator,city_road,0.213,1,MEDIUM
Longitudinal,city_road,0.074,2,LOW
Alligator,city_road,0.316,1,LOW
Pothole,major_district_road,0.036,3,MEDIUM
Alligator,rural_road,0.108,1,LOW
Alligator,major_district_road,0.27,4,MEDIUM
Alligator,city_road,0.04830544045544185,1,LOW
Longitudinal,state_highway,0.037,1,LOW
Alligator,national_highway,0.08714896393487305,4,HIGH
Alligator,city_road,0.061,2,LOW
Pothole,city_road,0.07,4,MEDIUM
Longitudinal,major_district_road,0.15,3,LOW
Alligator,state_highway,0.051,3,HIGH
Alligator,state_highway,0.035,1,MEDIUM
Longitudinal,national_highway,0.099,3,LOW
Alligator,major_district_road,0.35,5,MEDIUM
Pothole,city_road,0.237,2,MEDIUM
Alligator,state_highway,0.03914277401815172,3,HIGH
Alligator,major_district_road,0.272,3,MEDIUM
Longitudinal,city_road,0.077,3,LOW
Alligator,city_road,0.116,2,MEDIUM
Pothole,major_district_road,0.52,2,MEDIUM
Longitudinal,national_highway,0.106,3,LOW
Pothole,national_highway,0.034075764623582534,5,HIGH
Alligator,city_road,0.05801759102833211,4,MEDIUM
Pothole,state_highway,0.139,1,HIGH
Longitudinal,major_district_road,0.173,2,LOW
Pothole,major_district_road,0.133,3,MEDIUM
Pothole,rural_road,0.156,3,LOW
Pothole,major_district_road,0.033,1,MEDIUM
Pothole,city_road,0.163,1,MEDIUM
Pothole,city_road,0.048,2,MEDIUM
Alligator,state_highway,0.036,1,HIGH
Alligator,major_district_road,0.116,5,MEDIUM
Alligator,major_district_road,0.03656063873778326,2,MEDIUM
Longitudinal,national_highway,0.083,1,LOW
Alligator,national_highway,0.192,2,HIGH
Longitudinal,major_district_road,0.161,3,LOW
Pothole,national_highway,0.16497188802046855,1,HIGH
Longitudinal,city_road,0.08,2,LOW
Alligator,rural_road,0.316,4,LOW
Alligator,city_road,0.04130307379057848,1,LOW
Alligator,rural_road,0.188,6,LOW
Pothole,major_district_road,0.174,1,MEDIUM
Pothole,major_district_road,0.127,1,MEDIUM
Pothole,rural_road,0.12,5,LOW
Transverse,city_road,0.17247078831707296,1,LOW
Transverse,rural_road,0.272,2,LOW
Longitudinal,rural_road,0.044,3,LOW
Longitudinal,rural_road,0.19,2,LOW
Alligator,city_road,0.186,2,LOW
Transverse,state_highway,0.05809450213461076,3,MEDIUM
Transverse,city_road,0.251,3,LOW
Alligator,city_road,0.185,1,LOW
Transverse,city_road,0.05,2,LOW
Pothole,major_district_road,0.054,6,HIGH
Pothole,state_highway,0.213,4,HIGH
Pothole,major_district_road,0.261,1,MEDIUM
Alligator,major_district_road,0.065,4,MEDIUM
Alligator,rural_road,0.198,5,LOW
Longitudinal,state_highway,0.086,2,LOW
Pothole,state_highway,0.169,1,HIGH
Transverse,national_highway,0.012,3,MEDIUM
Alligator,city_road,0.204,1,LOW
Alligator,city_road,0.074,2,LOW
Alligator,state_highway,0.033,3,HIGH
Pothole,major_district_road,0.201,1,MEDIUM
Longitudinal,city_road,0.072,4,LOW
Pothole,major_district_road,0.188,3,MEDIUM
Transverse,city_road,0.01,4,LOW
Pothole,state_highway,0.113,2,MEDIUM
Alligator,city_road,0.21497457983248858,1,LOW
Alligator,city_road,0.2037035920847818,3,MEDIUM
Transverse,city_road,0.147,1,MEDIUM
Pothole,major_district_road,0.268,1,MEDIUM
Transverse,major_district_road,0.362,3,LOW
Alligator,city_road,0.04553432367578474,2,LOW
Longitudinal,national_highway,0.17857032660109903,1,LOW
Pothole,city_road,0.486,1,MEDIUM
Longitudinal,city_road,0.054,3,LOW
Pothole,city_road,0.201,2,MEDIUM
Pothole,city_road,0.06982700784164395,2,MEDIUM
Alligator,national_highway,0.05061061397987343,3,HIGH
Alligator,major_district_road,0.088,4,MEDIUM
Alligator,city_road,0.054,3,LOW
Alligator,city_road,0.256,4,MEDIUM
Longitudinal,state_highway,0.143,1,LOW
Transverse,city_road,0.051,3,LOW
Pothole,major_district_road,0.084,2,MEDIUM
Alligator,rural_road,0.067,2,LOW
Pothole,city_road,0.14289074700293003,4,MEDIUM
Alligator,major_district_road,0.219,2,MEDIUM
Transverse,major_district_road,0.084,5,LOW
Alligator,state_highway,0.191,2,HIGH
Longitudinal,city_road,0.10552265584491687,3,LOW
Pothole,major_district_road,0.061,7,HIGH
Longitudinal,city_road,0.024,2,LOW
Pothole,city_road,0.207,2,MEDIUM
Transverse,city_road,0.291,3,LOW
Alligator,city_road,0.058,1,LOW
Pothole,state_highway,0.124,3,HIGH
Pothole,major_district_road,0.259,4,HIGH
Longitudinal,city_road,0.065,1,LOW
Transverse,city_road,0.113,4,LOW
Longitudinal,state_highway,0.376,2,LOW
Alligator,city_road,0.067,3,LOW
Longitudinal,major_district_road,0.056,2,LOW
Alligator,state_highway,0.058,4,HIGH
Alligator,major_district_road,0.234,1,MEDIUM
Pothole,city_road,0.04669293305434361,1,LOW
Alligator,city_road,0.1689717748539949,4,MEDIUM
Pothole,city_road,0.03823764604261083,3,MEDIUM
Pothole,major_district_road,0.114,3,MEDIUM
Pothole,city_road,0.077,2,MEDIUM
Transverse,major_district_road,0.223,1,MEDIUM
Transverse,national_highway,0.132,2,MEDIUM
Alligator,major_district_road,0.153,4,MEDIUM
Longitudinal,state_highway,0.123,1,LOW
Pothole,major_district_road,0.224,2,MEDIUM
Transverse,major_district_road,0.176,3,LOW
Pothole,rural_road,0.19843428782608694,2,LOW
Pothole,city_road,0.109,2,MEDIUM
Pothole,city_road,0.1187887937985545,3,MEDIUM
Alligator,state_highway,0.365,1,HIGH
Alligator,city_road,0.07211359996661343,7,MEDIUM
Pothole,city_road,0.038,2,MEDIUM
Transverse,city_road,0.08256258976432725,1,LOW
Pothole,rural_road,0.199,1,LOW
Pothole,city_road,0.12596158192916942,1,MEDIUM
Longitudinal,city_road,0.098,4,LOW
Alligator,national_highway,0.283,3,HIGH
Transverse,major_district_road,0.052,4,LOW
Transverse,major_district_road,0.307,2,LOW
Pothole,state_highway,0.11197243475170444,1,HIGH
Longitudinal,state_highway,0.27,4,MEDIUM
Pothole,city_road,0.06679056327807366,2,MEDIUM
Transverse,major_district_road,0.244,1,LOW
Alligator,major_district_road,0.05080561849146971,2,LOW
Alligator,major_district_road,0.155,1,MEDIUM
Longitudinal,city_road,0.07023674237335628,3,LOW
Alligator,city_road,0.068,4,MEDIUM
Pothole,city_road,0.16,3,MEDIUM
Alligator,city_road,0.06592550079854313,3,MEDIUM
Alligator,major_district_road,0.14242473591934313,1,LOW
Pothole,state_highway,0.089,10,HIGH
Transverse,city_road,0.324,6,LOW
Longitudinal,city_road,0.099008956474052,2,LOW
Alligator,city_road,0.204,1,LOW
Alligator,city_road,0.243,2,LOW
Pothole,major_district_road,0.17689041043533688,3,MEDIUM
Pothole,state_highway,0.323,3,HIGH
Longitudinal,major_district_road,0.07380658513161761,4,LOW
Alligator,city_road,0.132,1,LOW
Alligator,major_district_road,0.051,2,MEDIUM
Alligator,rural_road,0.154,3,LOW
Pothole,city_road,0.139,1,MEDIUM
Transverse,city_road,0.168,2,LOW
Alligator,rural_road,0.023467483962214066,1,LOW
Longitudinal,major_district_road,0.109,2,LOW
Transverse,city_road,0.304,3,LOW
Longitudinal,city_road,0.219,4,LOW
Longitudinal,national_highway,0.093,4,MEDIUM
Longitudinal,state_highway,0.15,7,MEDIUM
Longitudinal,city_road,0.228,1,LOW
Alligator,state_highway,0.267,2,HIGH
Pothole,city_road,0.111,3,MEDIUM
Pothole,major_district_road,0.12077433358246899,2,MEDIUM
Pothole,city_road,0.072,1,LOW
Alligator,rural_road,0.071,6,LOW
Longitudinal,city_road,0.111,4,LOW
Transverse,city_road,0.177,5,LOW
Pothole,rural_road,0.119,2,LOW
Alligator,national_highway,0.18821222859232312,2,HIGH
Pothole,major_district_road,0.188,3,MEDIUM
Pothole,major_district_road,0.05616146068160125,2,MEDIUM
Pothole,city_road,0.159,5,MEDIUM
Longitudinal,city_road,0.08999056120260393,3,LOW
Alligator,city_road,0.088,3,LOW
Pothole,major_district_road,0.286,1,MEDIUM
Alligator,major_district_road,0.255,1,MEDIUM
Pothole,city_road,0.05271923197224653,4,MEDIUM
Longitudinal,city_road,0.083,4,LOW
Alligator,rural_road,0.066,2,LOW
Longitudinal,national_highway,0.035,3,LOW
Longitudinal,major_district_road,0.137,1,LOW
Pothole,major_district_road,0.257,2,MEDIUM
Alligator,major_district_road,0.6,3,HIGH
Transverse,major_district_road,0.09,2,LOW
Pothole,city_road,0.085,4,MEDIUM
Alligator,city_road,0.053,1,LOW
Pothole,state_highway,0.353,4,HIGH
Alligator,major_district_road,0.048692747532362766,2,MEDIUM
Pothole,city_road,0.321,4,MEDIUM
Transverse,city_road,0.12,1,LOW
Alligator,city_road,0.139,1,LOW
Pothole,city_road,0.25193680473066554,3,MEDIUM
Pothole,city_road,0.099,1,MEDIUM
Pothole,city_road,0.08,1,LOW
Alligator,rural_road,0.026,1,LOW
Longitudinal,major_district_road,0.092,4,LOW
Alligator,city_road,0.101,3,LOW
Transverse,major_district_road,0.114,2,LOW
Pothole,major_district_road,0.123,4,MEDIUM
Alligator,city_road,0.05866694872030869,1,MEDIUM
Longitudinal,city_road,0.371,1,LOW
Longitudinal,city_road,0.118,4,LOW
Pothole,city_road,0.244,1,MEDIUM
Pothole,state_highway,0.067,2,HIGH
Longitudinal,city_road,0.102,1,LOW
Pothole,major_district_road,0.061,4,MEDIUM
Transverse,city_road,0.129,5,LOW
Pothole,city_road,0.08820728253226974,4,MEDIUM
Transverse,major_district_road,0.153,1,LOW
Alligator,rural_road,0.067,2,LOW
Pothole,major_district_road,0.234,4,HIGH
Longitudinal,city_road,0.146,1,LOW
Alligator,city_road,0.097,1,MEDIUM
Pothole,city_road,0.076,6,MEDIUM
Pothole,city_road,0.493,2,MEDIUM
Longitudinal,national_highway,0.396,2,MEDIUM
Transverse,city_road,0.315,1,MEDIUM
Longitudinal,major_district_road,0.19,2,LOW
Transverse,city_road,0.10998773153937325,2,LOW
Longitudinal,city_road,0.241,5,LOW
Pothole,major_district_road,0.127,3,MEDIUM
Pothole,city_road,0.102,4,MEDIUM
Longitudinal,major_district_road,0.089,1,LOW
Pothole,national_highway,0.259,2,HIGH
Transverse,major_district_road,0.08683552215416217,2,LOW
Alligator,rural_road,0.059,5,LOW
Pothole,state_highway,0.308,3,HIGH
Alligator,major_district_road,0.095,2,LOW
Transverse,state_highway,0.119,3,MEDIUM
Pothole,city_road,0.119,4,MEDIUM
Pothole,major_district_road,0.044,4,MEDIUM
Pothole,city_road,0.138,4,MEDIUM
Longitudinal,national_highway,0.226,1,LOW
Transverse,city_road,0.116,3,LOW
